"私はある一つの失敗(スポーツジムのトラブル)で体を痛め肉割れもできました。そのことから自信をなくし不安でいっぱいで、治療院に通い詰めましたがなかなかよくならず、治療院の人に風水を進められ一度は断ったものの精神不安定な時に頼ることとなりました。その人の言う通りに実行するとまた違う後悔が生まれトラウマになり、それを解決しようとまた、焦り他人にすがりました。
すると男性なのですがそんな私も受けいれると言ってもらいましたがある日朝一が不安に襲われるから朝まで一緒にいるよって言われホテルで過ごす事となりました、お酒が入り性行為してしまい避妊にまで失敗し深く後悔しました。アフターピルを飲み大丈夫でしたが、母親は一番はじめから大丈夫、治るよ、と言ってくれていたのに、何があっても守るからと言ってくれたのに目の前の不安ばかり自分の痛みや見た目にばかり目を向けていたことがバカらしくなり、母親に申し訳無い気持ちでいっぱいです。いままでたくさん支えてくれたのに他人にすがってしまった自分が気持ち悪いです。母が大好きなのに傷つけてしまいます。生きるのが辛いです。唯一の味方まで裏切ってしまって、でも母親はもう気にして無いからというのです。私は甘え過ぎてました、いつでも母親はそばにいると。
いつかいなくなること考えると死にそうになります。どう、前向きになればよいですか？ダメな娘ですよね。もっといい子でいたかったし母親の体もいたわってあげたかった。いきるのつらいです。",心の悩み
離婚するなら結婚するなよ笑。,おしゃべり板
"あがり症の女です。
昔からあがり症で、極度に緊張したりすると手汗がすごかったり顔が熱くなったり体も熱くなったり、仕舞いには意識失って１度だけ倒れたりもしました。
すぐ気分が悪くなって座り込んだりします。
そこで悩みなのですが、今新しい職場で研修中の身ですが、新らしい環境でドキドキしすぎて緊張してます。慣れてしまえばあがり症も無くなるのですが、次長に仕事を教えてもらってる時必ず気分が悪くなるのです。
実は過去に前の職場でレジでミスをしすぎて従業員二人に囲まれて注意を受けていた時がありましたが、ストレスを感じたのか意識を失い倒れたことがありました。
それ以来人から説明を受けてるだけなのに緊張してしまい必ず気分が悪くなり座り込んでしまいます。
何回も気分が悪くなり座り込んだりして、今の職場の人たちに申し訳ないです。
そのことを次長になんとなくは話したのですが、こういうのって精神科に行った方がいいのでしょうか？",心の悩み
"旦那と離婚しました
離婚してからもラインと電話はしたいと言われたのでしてるんですが今は友達です

それを離婚しているシングルマザーの友達に相談したら私は子供がいるから連絡取ってるけど居なかったら取ってない
とる意味ある？？
と言われました

別に嫌いでもないから取ってるんですが普通は取らないですか？？",恋愛/29才
"悩みではないですが気になることがあります。

現代では難関校や有名な女子校の大学生でも風俗やお水でアルバイトをしている人はたまにいますよね。
そして、そのバイトをしているから差別を受けているという話は聞いたことがありません。

一方、昔はどうだったのでしょうか？遊郭や湯女の人は差別されたのでしょうか？",質問板
"私は今高校生で持病で体の調子が悪かったり、またそれによる、授業の遅れなどから学校に行きたくなくちょこちょこ休むことがあり、現在高校２年と進路もそろそろ意識していかないといけない上、今しか学生はないのに私は行かなくていいのだろうか？、、後悔しないだろうか？とよく悩みます。

そして、皆が出来ていることをできてない自分に嫌気がさします。
どう考えたらいいのか、どうすべきか分かりません。アドバイス頂けたら嬉しいです。",心の悩み
今日はみんな何してるの,おしゃべり板
"結婚相手の親がうつ病だったらどう思いますか？
当事者、親目線の場合で教えてください。",家庭・家族
"調理師の仕事の方にききます。
調理師の仕事をすると、仕事が終わったあと、台所にたちたくなくなるって聞いた事があります。そうなんですか？",心の悩み
"風邪をこじらせて喉の調子が悪い為に仕事を休んでいた時に
友達のライブ(趣味)の動画撮影を頼まれました。
ライブ場所は自宅から片道1時間30分くらいのところで
「スマホで良いから♪」と計16曲撮影しました。

途中メモリーオーバーになり、一曲まるごと撮影出来てないものもありました。


現場では「このあと仕事がある。」と言われてすごく忙しそうにされて
後日、動画撮影した後に動画について色々と難癖をつけてきてもう一回アップしてと電話がかかってきたりで…。

そんなにクオリティが高い物を作りたいならカメラもそれなりのを使って、お金払って人に頼めばいいのにと思ったんですが…間違ってますかね？

アマチュアのライブに足を運んだだけでも感謝してほしいと思ったんですが…。",友人
